X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 110,0.45914,0.18019119,0.0,-3.4028235E38,2.0,-0.52815604
variable 1,variable 114,0.45914,0.19060427,0.0,-3.4028235E38,2.0,0.51820433
variable 1,variable 116,0.45914,0.17484757,0.0,-3.4028235E38,2.0,0.5331908
variable 1,variable 56,0.4591,0.08881447,0.03632,0.4591,5.169925,0.6085109
variable 1,variable 141,0.45751,0.30499616,0.038760006,0.44662,4.807355,0.3905302
variable 1,variable 59,0.45709,0.29459378,0.07084,0.45709,5.169925,-0.40310818
variable 1,variable 53,0.44901,0.13617778,0.044200003,0.44901,5.169925,0.5593141
variable 1,variable 143,0.4452,0.011921793,0.036310017,0.4452,5.169925,0.6582387
variable 1,variable 46,0.43816,0.1398634,0.037890017,0.43816,5.169925,0.54616535
variable 1,variable 51,0.42276,0.11244735,0.019020006,0.42276,5.169925,0.55705714
variable 1,variable 65,0.42252,0.2757262,0.018700004,0.42252,5.169925,0.38313678
variable 1,variable 47,0.41578,0.117619485,0.015329987,0.41578,5.169925,0.5460408
variable 1,variable 73,0.41553,0.23456125,0.03727001,0.41553,5.169925,0.42540422
variable 1,variable 70,0.39957,0.25857675,0.13178,0.39957,5.169925,0.37549067
variable 1,variable 106,0.39413,0.15583177,0.031000018,0.39413,5.169925,0.488158
variable 1,variable 62,0.37702,0.16405897,0.03105998,0.37702,5.169925,0.461477
variable 1,variable 105,0.3709,0.20648398,0.025849998,0.3709,5.169925,0.40548247
variable 1,variable 64,0.37003,0.16504589,0.02204001,0.37003,5.169925,-0.4527517
variable 1,variable 74,0.35637,0.185021,0.041159987,0.35637,5.169925,-0.41394323
variable 1,variable 84,0.35345,0.24112582,0.08669001,0.35345,5.169925,0.335148
