X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
variable 1,variable 92,0.45914,-0.14299244,0.0,-3.4028235E38,2.0,0.77597195
variable 1,variable 102,0.45914,-0.40485758,0.0,-3.4028235E38,2.0,0.9295147
variable 1,variable 107,0.45914,0.33779883,0.0,-3.4028235E38,2.0,-0.34834057
variable 1,variable 108,0.45914,-0.04251218,0.0,-3.4028235E38,2.0,-0.70827407
variable 1,variable 110,0.45914,0.08199823,0.0,-3.4028235E38,2.0,-0.6141187
variable 1,variable 114,0.45914,-0.30646038,0.0,-3.4028235E38,2.0,0.87498593
variable 1,variable 116,0.45914,-0.25970852,0.0,-3.4028235E38,2.0,0.84784937
variable 1,variable 106,0.44825,0.14281622,0.05098,0.44825,5.169925,0.55266064
variable 1,variable 16,0.44249,0.29443088,0.058840007,0.44249,5.169925,0.38478452
variable 1,variable 59,0.43829,0.27488673,0.066440016,0.43829,5.169925,-0.4042317
variable 1,variable 64,0.42888,0.19264603,0.0264,0.42888,5.169925,-0.48603907
variable 1,variable 105,0.42693,0.18052004,0.069299996,0.42693,5.169925,0.496397
variable 1,variable 72,0.40101,0.2545948,0.020260006,0.40101,5.169925,-0.3826424
variable 1,variable 65,0.39705,0.27150774,0.025550008,0.39705,5.169925,0.3543194
